Key,Category,Sub Category,Sub Sub Category
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_SPA_F3_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F2_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F2_IMG1_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F0_IMG4_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_SPA_F0_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F4_IMG1_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F4_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_SPA_F4_IMG1_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_RXCM_F2_IMG1_S3,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_MC_F0_IMG3_S2,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F3_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_RXCM_F1_IMG1_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F2_IMG3_S1,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_STD_MC_F0_IMG0_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_SPA_F0_IMG5_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^M_ProjCoef_MEAN_MC_F2_IMG3_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
FINAL_RESULT_FLAG^^DTN_PCOEFF_OOS_2056^^B_ProjCoef_STD_MC_F0_IMGALL_S0,DTN/DTX,DTN,DTN_PCOEFF_OOS
